8.7133 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
10.0519 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x131eca860>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x132e00b70>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.0520 	EXP 	window1: recordFrameIntervals = False
10.2171 	EXP 	window1: recordFrameIntervals = True
10.4013 	EXP 	window1: recordFrameIntervals = False
11.1712 	EXP 	Created instructions_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='instructions_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Welcome!', units='height', win=Window(...), wrapWidth=1)
11.2252 	EXP 	Created show_condition_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='show_condition_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
11.2541 	EXP 	instructions_text: autoDraw = True
11.3714 	DATA 	Mouse: Left button down, pos=(550,536)
11.3718 	DATA 	Mouse:  Left button up, pos=(550,536)
11.7926 	EXP 	Imported csvs/noise_conditions.csv as conditions, 4 conditions, 1 params
11.7930 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
11.7932 	EXP 	New trial (rep=0, index=0): OrderedDict([('condition', 1)])
11.7956 	EXP 	Imported csvs/condition_1_wlists_indices.csv as conditions, 8 conditions, 1 params
11.7959 	EXP 	Created sequence: random, trialTypes=8, nReps=1, seed=None
11.7961 	EXP 	New trial (rep=0, index=0): OrderedDict([('wlist_index', 13)])
11.7987 	EXP 	Imported csvs/13.csv as conditions, 7 conditions, 1 params
11.7990 	EXP 	Created sequence: random, trialTypes=7, nReps=1, seed=None
11.7992 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', 'township')])
11.8209 	DATA 	Keypress: space
11.8372 	EXP 	instructions_text: autoDraw = False
11.8372 	EXP 	show_condition_text: text = 'township'
11.8372 	EXP 	show_condition_text: autoDraw = True
11.8376 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', 'deaths')])
11.8540 	EXP 	show_condition_text: autoDraw = False
11.8540 	EXP 	show_condition_text: text = 'deaths'
11.8540 	EXP 	show_condition_text: autoDraw = True
11.8544 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', 'guild')])
11.8722 	EXP 	show_condition_text: autoDraw = False
11.8722 	EXP 	show_condition_text: text = 'guild'
11.8722 	EXP 	show_condition_text: autoDraw = True
11.8726 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', 'measures')])
11.8904 	EXP 	show_condition_text: autoDraw = False
11.8904 	EXP 	show_condition_text: text = 'measures'
11.8904 	EXP 	show_condition_text: autoDraw = True
11.8908 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', 'complications')])
11.9202 	EXP 	show_condition_text: autoDraw = False
11.9202 	EXP 	show_condition_text: text = 'complications'
11.9202 	EXP 	show_condition_text: autoDraw = True
11.9206 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', 'scanned')])
11.9372 	EXP 	show_condition_text: autoDraw = False
11.9372 	EXP 	show_condition_text: text = 'scanned'
11.9372 	EXP 	show_condition_text: autoDraw = True
11.9376 	EXP 	New trial (rep=0, index=6): OrderedDict([('word', 'poems')])
11.9545 	EXP 	show_condition_text: autoDraw = False
11.9545 	EXP 	show_condition_text: text = 'poems'
11.9545 	EXP 	show_condition_text: autoDraw = True
11.9700 	EXP 	show_condition_text: autoDraw = False
11.9700 	EXP 	show_condition_text: text = '****'
11.9700 	EXP 	show_condition_text: autoDraw = True
11.9869 	EXP 	show_condition_text: text = '****'
11.9869 	EXP 	show_condition_text: autoDraw = True
12.0037 	EXP 	show_condition_text: text = '****'
12.0037 	EXP 	show_condition_text: autoDraw = True
12.0199 	EXP 	show_condition_text: text = '****'
12.0199 	EXP 	show_condition_text: autoDraw = True
12.0370 	EXP 	show_condition_text: text = '****'
12.0370 	EXP 	show_condition_text: autoDraw = True
12.0529 	EXP 	show_condition_text: text = '****'
12.0529 	EXP 	show_condition_text: autoDraw = True
12.0701 	EXP 	show_condition_text: text = '****'
12.0701 	EXP 	show_condition_text: autoDraw = True
12.0872 	EXP 	show_condition_text: text = '****'
12.0872 	EXP 	show_condition_text: autoDraw = True
12.1037 	EXP 	show_condition_text: text = '****'
12.1037 	EXP 	show_condition_text: autoDraw = True
12.1198 	EXP 	show_condition_text: text = '****'
12.1198 	EXP 	show_condition_text: autoDraw = True
12.1363 	EXP 	show_condition_text: text = '****'
12.1363 	EXP 	show_condition_text: autoDraw = True
12.1535 	EXP 	show_condition_text: text = '****'
12.1535 	EXP 	show_condition_text: autoDraw = True
12.1705 	EXP 	show_condition_text: text = '****'
12.1705 	EXP 	show_condition_text: autoDraw = True
12.1869 	EXP 	show_condition_text: text = '****'
12.1869 	EXP 	show_condition_text: autoDraw = True
12.2031 	EXP 	show_condition_text: text = '****'
12.2031 	EXP 	show_condition_text: autoDraw = True
12.2208 	EXP 	show_condition_text: text = '****'
12.2208 	EXP 	show_condition_text: autoDraw = True
12.2367 	EXP 	show_condition_text: text = '****'
12.2367 	EXP 	show_condition_text: autoDraw = True
12.2535 	EXP 	show_condition_text: text = '****'
12.2535 	EXP 	show_condition_text: autoDraw = True
12.2553 	DATA 	Keypress: lctrl
12.2702 	EXP 	show_condition_text: text = '****'
12.2702 	EXP 	show_condition_text: autoDraw = True
12.2865 	EXP 	show_condition_text: text = '****'
12.2865 	EXP 	show_condition_text: autoDraw = True
12.3037 	EXP 	show_condition_text: text = '****'
12.3037 	EXP 	show_condition_text: autoDraw = True
12.3198 	EXP 	show_condition_text: text = '****'
12.3198 	EXP 	show_condition_text: autoDraw = True
12.3368 	EXP 	show_condition_text: text = '****'
12.3368 	EXP 	show_condition_text: autoDraw = True
12.3541 	EXP 	show_condition_text: text = '****'
12.3541 	EXP 	show_condition_text: autoDraw = True
12.3704 	EXP 	show_condition_text: text = '****'
12.3704 	EXP 	show_condition_text: autoDraw = True
12.3872 	EXP 	show_condition_text: text = '****'
12.3872 	EXP 	show_condition_text: autoDraw = True
12.4034 	EXP 	show_condition_text: text = '****'
12.4034 	EXP 	show_condition_text: autoDraw = True
12.4207 	EXP 	show_condition_text: text = '****'
12.4207 	EXP 	show_condition_text: autoDraw = True
12.4367 	EXP 	show_condition_text: text = '****'
12.4367 	EXP 	show_condition_text: autoDraw = True
12.4542 	EXP 	show_condition_text: text = '****'
12.4542 	EXP 	show_condition_text: autoDraw = True
12.4703 	EXP 	show_condition_text: text = '****'
12.4703 	EXP 	show_condition_text: autoDraw = True
12.4870 	EXP 	show_condition_text: text = '****'
12.4870 	EXP 	show_condition_text: autoDraw = True
12.4906 	DATA 	Keypress: left
12.5037 	EXP 	show_condition_text: text = '****'
12.5037 	EXP 	show_condition_text: autoDraw = True
12.5199 	EXP 	show_condition_text: text = '****'
12.5199 	EXP 	show_condition_text: autoDraw = True
12.5370 	EXP 	show_condition_text: text = '****'
12.5370 	EXP 	show_condition_text: autoDraw = True
12.5537 	EXP 	show_condition_text: text = '****'
12.5537 	EXP 	show_condition_text: autoDraw = True
12.5702 	EXP 	show_condition_text: text = '****'
12.5702 	EXP 	show_condition_text: autoDraw = True
12.5865 	EXP 	show_condition_text: text = '****'
12.5865 	EXP 	show_condition_text: autoDraw = True
12.6031 	EXP 	show_condition_text: text = '****'
12.6031 	EXP 	show_condition_text: autoDraw = True
12.6205 	EXP 	show_condition_text: text = '****'
12.6205 	EXP 	show_condition_text: autoDraw = True
12.6369 	EXP 	show_condition_text: text = '****'
12.6369 	EXP 	show_condition_text: autoDraw = True
12.6537 	EXP 	show_condition_text: text = '****'
12.6537 	EXP 	show_condition_text: autoDraw = True
12.6701 	EXP 	show_condition_text: text = '****'
12.6701 	EXP 	show_condition_text: autoDraw = True
12.6866 	EXP 	show_condition_text: text = '****'
12.6866 	EXP 	show_condition_text: autoDraw = True
12.7038 	EXP 	show_condition_text: text = '****'
12.7038 	EXP 	show_condition_text: autoDraw = True
12.7212 	EXP 	show_condition_text: text = '****'
12.7212 	EXP 	show_condition_text: autoDraw = True
12.7371 	EXP 	show_condition_text: text = '****'
12.7371 	EXP 	show_condition_text: autoDraw = True
12.7539 	EXP 	show_condition_text: text = '****'
12.7539 	EXP 	show_condition_text: autoDraw = True
12.7701 	EXP 	show_condition_text: text = '****'
12.7701 	EXP 	show_condition_text: autoDraw = True
12.7870 	EXP 	show_condition_text: text = '****'
12.7870 	EXP 	show_condition_text: autoDraw = True
12.8039 	EXP 	show_condition_text: text = '****'
12.8039 	EXP 	show_condition_text: autoDraw = True
12.8201 	EXP 	show_condition_text: text = '****'
12.8201 	EXP 	show_condition_text: autoDraw = True
12.8373 	EXP 	show_condition_text: text = '****'
12.8373 	EXP 	show_condition_text: autoDraw = True
12.8534 	EXP 	show_condition_text: text = '****'
12.8534 	EXP 	show_condition_text: autoDraw = True
12.8703 	EXP 	show_condition_text: text = '****'
12.8703 	EXP 	show_condition_text: autoDraw = True
12.8870 	EXP 	show_condition_text: text = '****'
12.8870 	EXP 	show_condition_text: autoDraw = True
12.9031 	EXP 	show_condition_text: text = '****'
12.9031 	EXP 	show_condition_text: autoDraw = True
12.9203 	EXP 	show_condition_text: text = '****'
12.9203 	EXP 	show_condition_text: autoDraw = True
12.9372 	EXP 	show_condition_text: text = '****'
12.9372 	EXP 	show_condition_text: autoDraw = True
12.9535 	EXP 	show_condition_text: text = '****'
12.9535 	EXP 	show_condition_text: autoDraw = True
12.9696 	EXP 	show_condition_text: text = '****'
12.9696 	EXP 	show_condition_text: autoDraw = True
12.9874 	EXP 	show_condition_text: text = '****'
12.9874 	EXP 	show_condition_text: autoDraw = True
13.0036 	EXP 	show_condition_text: text = '****'
13.0036 	EXP 	show_condition_text: autoDraw = True
13.0205 	EXP 	show_condition_text: text = '****'
13.0205 	EXP 	show_condition_text: autoDraw = True
13.0370 	EXP 	show_condition_text: text = '****'
13.0370 	EXP 	show_condition_text: autoDraw = True
