5.9168 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
6.8816 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x131ccd898>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x132cfc668>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.8816 	EXP 	window1: recordFrameIntervals = False
7.0472 	EXP 	window1: recordFrameIntervals = True
7.2305 	EXP 	window1: recordFrameIntervals = False
7.7418 	EXP 	Created instructions_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='instructions_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Welcome!', units='height', win=Window(...), wrapWidth=1)
7.7982 	EXP 	Created show_condition_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='show_condition_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
7.8173 	EXP 	instructions_text: autoDraw = True
8.1699 	EXP 	Imported csvs/noise_conditions.csv as conditions, 4 conditions, 1 params
8.1703 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
8.1706 	EXP 	New trial (rep=0, index=0): OrderedDict([('condition', 2)])
8.1730 	EXP 	Imported csvs/condition_2_wlists_indices.csv as conditions, 8 conditions, 1 params
8.1732 	EXP 	Created sequence: random, trialTypes=8, nReps=1, seed=None
8.1734 	EXP 	New trial (rep=0, index=0): OrderedDict([('wlist_index', 20)])
8.1789 	EXP 	Imported csvs/20.csv as conditions, 8 conditions, 1 params
8.1793 	EXP 	Created sequence: random, trialTypes=8, nReps=1, seed=None
8.1796 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', 'waiver')])
8.1980 	DATA 	Keypress: space
8.2134 	EXP 	instructions_text: autoDraw = False
8.2134 	EXP 	show_condition_text: text = 'waiver'
8.2134 	EXP 	show_condition_text: autoDraw = True
8.2138 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', 'territories')])
8.2301 	EXP 	show_condition_text: autoDraw = False
8.2301 	EXP 	show_condition_text: text = 'territories'
8.2301 	EXP 	show_condition_text: autoDraw = True
