7.0262 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
10.1517 	EXP 	instructions_text: autoDraw = True
10.1676 	EXP 	instructions_text: autoDraw = True
10.1847 	EXP 	instructions_text: autoDraw = True
10.2007 	EXP 	instructions_text: autoDraw = True
10.2184 	EXP 	instructions_text: autoDraw = True
10.2346 	EXP 	instructions_text: autoDraw = True
10.2518 	EXP 	instructions_text: autoDraw = True
10.2675 	EXP 	instructions_text: autoDraw = True
10.2848 	EXP 	instructions_text: autoDraw = True
10.3007 	EXP 	instructions_text: autoDraw = True
10.3180 	EXP 	instructions_text: autoDraw = True
10.3348 	EXP 	instructions_text: autoDraw = True
10.3508 	EXP 	instructions_text: autoDraw = True
10.3679 	EXP 	instructions_text: autoDraw = True
10.3797 	DATA 	Keypress: space
10.4012 	EXP 	instructions_text: autoDraw = True
10.4184 	EXP 	instructions_text: autoDraw = True
10.4347 	EXP 	instructions_text: autoDraw = True
10.4509 	EXP 	instructions_text: autoDraw = True
10.4679 	EXP 	instructions_text: autoDraw = True
10.4849 	EXP 	instructions_text: autoDraw = True
10.5008 	EXP 	instructions_text: autoDraw = True
10.5178 	EXP 	instructions_text: autoDraw = True
10.5349 	EXP 	instructions_text: autoDraw = True
10.5510 	EXP 	instructions_text: autoDraw = True
10.5680 	EXP 	instructions_text: autoDraw = True
10.5844 	EXP 	instructions_text: autoDraw = False
10.5900 	EXP 	Imported csvs/noise_conditions.csv as conditions, 4 conditions, 1 params
10.5903 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
10.5905 	EXP 	New trial (rep=0, index=0): OrderedDict([('condition', 1)])
10.5931 	EXP 	Imported csvs/condition_1_wlists_indices.csv as conditions, 8 conditions, 1 params
10.5933 	EXP 	Created sequence: random, trialTypes=8, nReps=1, seed=None
10.5935 	EXP 	New trial (rep=0, index=0): OrderedDict([('wlist_index', 9)])
10.5959 	EXP 	Imported csvs/9.csv as conditions, 6 conditions, 1 params
10.5962 	EXP 	Created sequence: random, trialTypes=6, nReps=1, seed=None
10.5963 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', 'plane')])
10.6178 	EXP 	show_condition_text: text = 'plane'
10.6178 	EXP 	show_condition_text: autoDraw = True
10.6184 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', 'bitch')])
10.6376 	EXP 	show_condition_text: text = 'bitch'
10.6376 	EXP 	show_condition_text: autoDraw = True
10.6382 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', 'stuck')])
10.6675 	EXP 	show_condition_text: text = 'stuck'
10.6675 	EXP 	show_condition_text: autoDraw = True
10.6680 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', 'titled')])
10.6838 	EXP 	show_condition_text: text = 'titled'
10.6838 	EXP 	show_condition_text: autoDraw = True
10.6843 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', 'sing')])
10.7011 	EXP 	show_condition_text: text = 'sing'
10.7011 	EXP 	show_condition_text: autoDraw = True
10.7018 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', 'continuing')])
10.7207 	EXP 	show_condition_text: text = 'continuing'
10.7207 	EXP 	show_condition_text: autoDraw = True
10.7375 	EXP 	show_condition_text: text = '****'
10.7375 	EXP 	show_condition_text: autoDraw = True
11.4736 	DATA 	Keypress: space
11.7374 	EXP 	show_condition_text: autoDraw = False
11.7377 	EXP 	New trial (rep=0, index=1): OrderedDict([('wlist_index', 3)])
11.7406 	EXP 	Imported csvs/3.csv as conditions, 9 conditions, 1 params
11.7408 	EXP 	Created sequence: random, trialTypes=9, nReps=1, seed=None
11.7410 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', 'wow')])
11.7574 	EXP 	show_condition_text: text = 'wow'
11.7574 	EXP 	show_condition_text: autoDraw = True
11.7580 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', 'silent')])
11.7732 	EXP 	show_condition_text: text = 'silent'
11.7732 	EXP 	show_condition_text: autoDraw = True
11.7737 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', 'considers')])
11.8036 	EXP 	show_condition_text: text = 'considers'
11.8036 	EXP 	show_condition_text: autoDraw = True
11.8043 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', 'custom')])
11.8208 	EXP 	show_condition_text: text = 'custom'
11.8208 	EXP 	show_condition_text: autoDraw = True
11.8214 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', 'smaller')])
11.8387 	EXP 	show_condition_text: text = 'smaller'
11.8387 	EXP 	show_condition_text: autoDraw = True
11.8392 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', 'intervention')])
11.8576 	EXP 	show_condition_text: text = 'intervention'
11.8576 	EXP 	show_condition_text: autoDraw = True
11.8583 	EXP 	New trial (rep=0, index=6): OrderedDict([('word', 'knowledgestorm')])
11.8874 	EXP 	show_condition_text: text = 'knowledgestorm'
11.8874 	EXP 	show_condition_text: autoDraw = True
11.8879 	EXP 	New trial (rep=0, index=7): OrderedDict([('word', 'www')])
11.9042 	EXP 	show_condition_text: text = 'www'
11.9042 	EXP 	show_condition_text: autoDraw = True
11.9048 	EXP 	New trial (rep=0, index=8): OrderedDict([('word', 'vat')])
11.9204 	EXP 	show_condition_text: text = 'vat'
11.9204 	EXP 	show_condition_text: autoDraw = True
11.9366 	EXP 	show_condition_text: text = '****'
11.9366 	EXP 	show_condition_text: autoDraw = True
12.3900 	DATA 	Keypress: space
12.6202 	EXP 	show_condition_text: autoDraw = False
12.6206 	EXP 	New trial (rep=0, index=2): OrderedDict([('wlist_index', 12)])
12.6237 	EXP 	Imported csvs/12.csv as conditions, 7 conditions, 1 params
12.6240 	EXP 	Created sequence: random, trialTypes=7, nReps=1, seed=None
12.6242 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', 'powered')])
12.6413 	EXP 	show_condition_text: text = 'powered'
12.6413 	EXP 	show_condition_text: autoDraw = True
12.6418 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', 'bangkok')])
12.6709 	EXP 	show_condition_text: text = 'bangkok'
12.6709 	EXP 	show_condition_text: autoDraw = True
12.6714 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', 'rapid')])
12.6872 	EXP 	show_condition_text: text = 'rapid'
12.6872 	EXP 	show_condition_text: autoDraw = True
12.6877 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', 'shipments')])
12.7042 	EXP 	show_condition_text: text = 'shipments'
12.7042 	EXP 	show_condition_text: autoDraw = True
12.7048 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', 'keyword')])
12.7375 	EXP 	show_condition_text: text = 'keyword'
12.7375 	EXP 	show_condition_text: autoDraw = True
12.7382 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', 'cradle')])
12.7562 	EXP 	show_condition_text: text = 'cradle'
12.7562 	EXP 	show_condition_text: autoDraw = True
12.7568 	EXP 	New trial (rep=0, index=6): OrderedDict([('word', 'latin')])
12.7726 	EXP 	show_condition_text: text = 'latin'
12.7726 	EXP 	show_condition_text: autoDraw = True
12.7885 	EXP 	show_condition_text: text = '****'
12.7885 	EXP 	show_condition_text: autoDraw = True
13.1569 	DATA 	Keypress: space
13.3710 	EXP 	show_condition_text: autoDraw = False
13.3714 	EXP 	New trial (rep=0, index=3): OrderedDict([('wlist_index', 17)])
13.3747 	EXP 	Imported csvs/17.csv as conditions, 10 conditions, 1 params
13.3750 	EXP 	Created sequence: random, trialTypes=10, nReps=1, seed=None
13.3752 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', 'sally')])
13.3915 	EXP 	show_condition_text: text = 'sally'
13.3915 	EXP 	show_condition_text: autoDraw = True
13.3921 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', 'penetration')])
13.4200 	EXP 	show_condition_text: text = 'penetration'
13.4200 	EXP 	show_condition_text: autoDraw = True
13.4206 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', 'scott')])
13.4374 	EXP 	show_condition_text: text = 'scott'
13.4374 	EXP 	show_condition_text: autoDraw = True
13.4380 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', 'potatoes')])
13.4553 	EXP 	show_condition_text: text = 'potatoes'
13.4553 	EXP 	show_condition_text: autoDraw = True
13.4559 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', 'map')])
13.4707 	EXP 	show_condition_text: text = 'map'
13.4707 	EXP 	show_condition_text: autoDraw = True
13.4713 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', 'charging')])
13.4905 	EXP 	show_condition_text: text = 'charging'
13.4905 	EXP 	show_condition_text: autoDraw = True
13.4910 	EXP 	New trial (rep=0, index=6): OrderedDict([('word', 'talent')])
13.5061 	EXP 	show_condition_text: text = 'talent'
13.5061 	EXP 	show_condition_text: autoDraw = True
13.5066 	EXP 	New trial (rep=0, index=7): OrderedDict([('word', 'adaptor')])
13.5227 	EXP 	show_condition_text: text = 'adaptor'
13.5227 	EXP 	show_condition_text: autoDraw = True
13.5233 	EXP 	New trial (rep=0, index=8): OrderedDict([('word', 'accept')])
13.5381 	EXP 	show_condition_text: text = 'accept'
13.5381 	EXP 	show_condition_text: autoDraw = True
13.5386 	EXP 	New trial (rep=0, index=9): OrderedDict([('word', 'places')])
13.5542 	EXP 	show_condition_text: text = 'places'
13.5542 	EXP 	show_condition_text: autoDraw = True
13.5704 	EXP 	show_condition_text: text = '****'
13.5704 	EXP 	show_condition_text: autoDraw = True
13.9733 	DATA 	Keypress: space
14.1539 	EXP 	show_condition_text: autoDraw = False
14.1542 	EXP 	New trial (rep=0, index=4): OrderedDict([('wlist_index', 2)])
14.1573 	EXP 	Imported csvs/2.csv as conditions, 8 conditions, 1 params
14.1576 	EXP 	Created sequence: random, trialTypes=8, nReps=1, seed=None
14.1578 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', 'assessed')])
14.1870 	EXP 	show_condition_text: text = 'assessed'
14.1870 	EXP 	show_condition_text: autoDraw = True
14.1876 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', 'milfhunter')])
14.2047 	EXP 	show_condition_text: text = 'milfhunter'
14.2047 	EXP 	show_condition_text: autoDraw = True
14.2053 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', 'guide')])
14.2206 	EXP 	show_condition_text: text = 'guide'
14.2206 	EXP 	show_condition_text: autoDraw = True
14.2210 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', 'protected')])
