7.5260 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
8.4119 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x131e8e7f0>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x13346eb70>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.4119 	EXP 	window1: recordFrameIntervals = False
8.5782 	EXP 	window1: recordFrameIntervals = True
8.7614 	EXP 	window1: recordFrameIntervals = False
9.1482 	EXP 	Created instructions_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='instructions_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Welcome!', units='height', win=Window(...), wrapWidth=1)
9.1847 	EXP 	Created show_condition_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='show_condition_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
9.2144 	EXP 	instructions_text: autoDraw = True
9.3210 	EXP 	Imported csvs/noise_conditions.csv as conditions, 4 conditions, 1 params
9.3213 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
9.3215 	EXP 	New trial (rep=0, index=0): OrderedDict([('condition', 1)])
9.3240 	EXP 	Imported csvs/condition_1_wlists_indices.csv as conditions, 8 conditions, 1 params
9.3243 	EXP 	Created sequence: random, trialTypes=8, nReps=1, seed=None
9.3245 	EXP 	New trial (rep=0, index=0): OrderedDict([('wlist_index', 2)])
9.3269 	EXP 	Imported csvs/2.csv as conditions, 8 conditions, 1 params
9.3272 	EXP 	Created sequence: random, trialTypes=8, nReps=1, seed=None
9.3274 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', 'look')])
9.3424 	DATA 	Keypress: space
9.3635 	EXP 	instructions_text: autoDraw = False
9.3635 	EXP 	show_condition_text: text = 'look'
9.3635 	EXP 	show_condition_text: autoDraw = True
10.3481 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', 'noble')])
10.3644 	EXP 	show_condition_text: autoDraw = False
10.3644 	EXP 	show_condition_text: autoDraw = False
10.3644 	EXP 	show_condition_text: text = 'noble'
10.3644 	EXP 	show_condition_text: autoDraw = True
11.3484 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', 'xl')])
11.3646 	EXP 	show_condition_text: autoDraw = False
11.3646 	EXP 	show_condition_text: autoDraw = False
11.3646 	EXP 	show_condition_text: text = 'xl'
11.3646 	EXP 	show_condition_text: autoDraw = True
12.3487 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', 'assessed')])
12.3647 	EXP 	show_condition_text: autoDraw = False
12.3647 	EXP 	show_condition_text: autoDraw = False
12.3647 	EXP 	show_condition_text: text = 'assessed'
12.3647 	EXP 	show_condition_text: autoDraw = True
13.3482 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', 'milfhunter')])
13.3681 	EXP 	show_condition_text: autoDraw = False
13.3681 	EXP 	show_condition_text: autoDraw = False
13.3681 	EXP 	show_condition_text: text = 'milfhunter'
13.3681 	EXP 	show_condition_text: autoDraw = True
14.3649 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', 'guide')])
14.3814 	EXP 	show_condition_text: autoDraw = False
14.3814 	EXP 	show_condition_text: autoDraw = False
14.3814 	EXP 	show_condition_text: text = 'guide'
14.3814 	EXP 	show_condition_text: autoDraw = True
15.3648 	EXP 	New trial (rep=0, index=6): OrderedDict([('word', 'protected')])
15.3834 	EXP 	show_condition_text: autoDraw = False
15.3834 	EXP 	show_condition_text: autoDraw = False
15.3834 	EXP 	show_condition_text: text = 'protected'
15.3834 	EXP 	show_condition_text: autoDraw = True
16.3820 	EXP 	New trial (rep=0, index=7): OrderedDict([('word', 'representation')])
16.4143 	EXP 	show_condition_text: autoDraw = False
16.4143 	EXP 	show_condition_text: autoDraw = False
16.4143 	EXP 	show_condition_text: text = 'representation'
16.4143 	EXP 	show_condition_text: autoDraw = True
17.4141 	EXP 	show_condition_text: autoDraw = False
17.4141 	EXP 	show_condition_text: autoDraw = False
17.4141 	EXP 	show_condition_text: text = '****'
17.4141 	EXP 	show_condition_text: autoDraw = True
17.4302 	EXP 	show_condition_text: text = '****'
17.4302 	EXP 	show_condition_text: autoDraw = True
17.4471 	EXP 	show_condition_text: text = '****'
17.4471 	EXP 	show_condition_text: autoDraw = True
17.4637 	EXP 	show_condition_text: text = '****'
17.4637 	EXP 	show_condition_text: autoDraw = True
17.4807 	EXP 	show_condition_text: text = '****'
17.4807 	EXP 	show_condition_text: autoDraw = True
17.4974 	EXP 	show_condition_text: text = '****'
17.4974 	EXP 	show_condition_text: autoDraw = True
17.5141 	EXP 	show_condition_text: text = '****'
17.5141 	EXP 	show_condition_text: autoDraw = True
17.5308 	EXP 	show_condition_text: text = '****'
17.5308 	EXP 	show_condition_text: autoDraw = True
17.5477 	EXP 	show_condition_text: text = '****'
17.5477 	EXP 	show_condition_text: autoDraw = True
17.5640 	EXP 	show_condition_text: text = '****'
17.5640 	EXP 	show_condition_text: autoDraw = True
17.5809 	EXP 	show_condition_text: text = '****'
17.5809 	EXP 	show_condition_text: autoDraw = True
17.5973 	EXP 	show_condition_text: text = '****'
17.5973 	EXP 	show_condition_text: autoDraw = True
17.6141 	EXP 	show_condition_text: text = '****'
17.6141 	EXP 	show_condition_text: autoDraw = True
