9.8161 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
10.5144 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x132184908>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x132f9b668>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.5144 	EXP 	window1: recordFrameIntervals = False
10.6802 	EXP 	window1: recordFrameIntervals = True
10.8645 	EXP 	window1: recordFrameIntervals = False
11.3698 	EXP 	Created instructions_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='instructions_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Welcome!', units='height', win=Window(...), wrapWidth=1)
11.4285 	EXP 	Created show_condition_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='show_condition_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
11.4480 	EXP 	instructions_text: autoDraw = True
11.4633 	EXP 	instructions_text: autoDraw = True
11.4802 	EXP 	instructions_text: autoDraw = True
11.4976 	EXP 	instructions_text: autoDraw = True
11.5132 	EXP 	instructions_text: autoDraw = True
11.5310 	EXP 	instructions_text: autoDraw = True
11.5465 	EXP 	instructions_text: autoDraw = True
11.5643 	EXP 	instructions_text: autoDraw = True
11.5808 	EXP 	instructions_text: autoDraw = True
11.5975 	EXP 	instructions_text: autoDraw = True
11.6137 	EXP 	instructions_text: autoDraw = True
11.6304 	EXP 	instructions_text: autoDraw = True
11.6474 	EXP 	instructions_text: autoDraw = True
11.6632 	EXP 	instructions_text: autoDraw = True
11.6803 	EXP 	instructions_text: autoDraw = True
11.6971 	EXP 	instructions_text: autoDraw = True
11.7136 	EXP 	instructions_text: autoDraw = True
11.7308 	EXP 	instructions_text: autoDraw = True
11.7465 	EXP 	instructions_text: autoDraw = True
11.7640 	EXP 	instructions_text: autoDraw = True
11.7812 	EXP 	instructions_text: autoDraw = True
11.7975 	EXP 	instructions_text: autoDraw = True
11.8139 	EXP 	instructions_text: autoDraw = True
11.8319 	EXP 	instructions_text: autoDraw = True
11.8469 	EXP 	instructions_text: autoDraw = True
11.8642 	EXP 	instructions_text: autoDraw = True
11.8799 	EXP 	instructions_text: autoDraw = True
11.8972 	EXP 	instructions_text: autoDraw = True
11.9140 	EXP 	instructions_text: autoDraw = True
11.9301 	EXP 	instructions_text: autoDraw = True
11.9471 	EXP 	instructions_text: autoDraw = True
11.9639 	EXP 	instructions_text: autoDraw = True
11.9809 	EXP 	instructions_text: autoDraw = True
11.9978 	EXP 	instructions_text: autoDraw = True
12.0142 	EXP 	instructions_text: autoDraw = True
12.0304 	EXP 	instructions_text: autoDraw = True
12.0468 	EXP 	instructions_text: autoDraw = True
12.0637 	EXP 	instructions_text: autoDraw = True
12.0811 	EXP 	instructions_text: autoDraw = True
12.0979 	EXP 	instructions_text: autoDraw = True
12.1138 	EXP 	instructions_text: autoDraw = True
12.1310 	EXP 	instructions_text: autoDraw = True
12.1470 	EXP 	instructions_text: autoDraw = True
12.1644 	EXP 	instructions_text: autoDraw = True
12.1809 	EXP 	instructions_text: autoDraw = True
12.1971 	EXP 	instructions_text: autoDraw = True
12.2133 	EXP 	instructions_text: autoDraw = True
12.2305 	EXP 	instructions_text: autoDraw = True
12.2475 	EXP 	instructions_text: autoDraw = True
12.2642 	EXP 	instructions_text: autoDraw = True
12.2803 	EXP 	instructions_text: autoDraw = True
12.2970 	EXP 	instructions_text: autoDraw = True
12.3138 	EXP 	instructions_text: autoDraw = True
12.3306 	EXP 	instructions_text: autoDraw = True
12.3473 	EXP 	instructions_text: autoDraw = True
12.3608 	DATA 	Keypress: space
12.3801 	EXP 	instructions_text: autoDraw = True
12.3969 	EXP 	instructions_text: autoDraw = True
12.4139 	EXP 	instructions_text: autoDraw = True
12.4297 	EXP 	instructions_text: autoDraw = True
12.4469 	EXP 	instructions_text: autoDraw = True
12.4637 	EXP 	instructions_text: autoDraw = True
12.4808 	EXP 	instructions_text: autoDraw = True
12.4870 	EXP 	Imported csvs/noise_conditions.csv as conditions, 4 conditions, 1 params
12.4873 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
12.4875 	EXP 	New trial (rep=0, index=0): OrderedDict([('condition', 3)])
12.4901 	EXP 	Imported csvs/condition_3_wlists_indices.csv as conditions, 8 conditions, 1 params
12.4904 	EXP 	Created sequence: random, trialTypes=8, nReps=1, seed=None
12.4907 	EXP 	New trial (rep=0, index=0): OrderedDict([('wlist_index', 28)])
12.4935 	EXP 	Imported csvs/28.csv as conditions, 6 conditions, 1 params
12.4940 	EXP 	Created sequence: random, trialTypes=6, nReps=1, seed=None
12.4944 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', 'figure')])
12.5133 	EXP 	show_condition_text: text = 'figure'
12.5133 	EXP 	show_condition_text: autoDraw = True
12.5139 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', 'make')])
12.5300 	EXP 	show_condition_text: text = 'make'
12.5300 	EXP 	show_condition_text: autoDraw = True
12.5308 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', 'biography')])
12.5634 	EXP 	show_condition_text: text = 'biography'
12.5634 	EXP 	show_condition_text: autoDraw = True
