5.7240 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
6.4101 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x131c8b828>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x132e8f320>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.4101 	EXP 	window1: recordFrameIntervals = False
6.5765 	EXP 	window1: recordFrameIntervals = True
6.7598 	EXP 	window1: recordFrameIntervals = False
7.4065 	EXP 	Created instructions_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='instructions_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Welcome!', units='height', win=Window(...), wrapWidth=1)
7.4589 	EXP 	Created show_condition_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='show_condition_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
7.4782 	EXP 	instructions_text: autoDraw = True
7.7195 	EXP 	Imported csvs/noise_conditions.csv as conditions, 4 conditions, 1 params
7.7198 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
7.7200 	EXP 	New trial (rep=0, index=0): OrderedDict([('condition', 3)])
7.7264 	EXP 	Imported csvs/condition_3_wlists_indices.csv as conditions, 8 conditions, 1 params
7.7267 	EXP 	Created sequence: random, trialTypes=8, nReps=1, seed=None
7.7269 	EXP 	New trial (rep=0, index=0): OrderedDict([('wlist_index', 28)])
7.7367 	EXP 	Imported csvs/28.csv as conditions, 6 conditions, 1 params
7.7370 	EXP 	Created sequence: random, trialTypes=6, nReps=1, seed=None
7.7372 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', 'anthropology')])
7.7706 	DATA 	Keypress: space
7.7927 	EXP 	instructions_text: autoDraw = False
7.7927 	EXP 	show_condition_text: text = 'anthropology'
7.7927 	EXP 	show_condition_text: autoDraw = True
8.7787 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', 'make')])
8.7965 	EXP 	show_condition_text: autoDraw = False
8.7965 	EXP 	show_condition_text: autoDraw = False
8.7965 	EXP 	show_condition_text: text = 'make'
8.7965 	EXP 	show_condition_text: autoDraw = True
9.7945 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', 'separately')])
9.8136 	EXP 	show_condition_text: autoDraw = False
9.8136 	EXP 	show_condition_text: autoDraw = False
9.8136 	EXP 	show_condition_text: text = 'separately'
9.8136 	EXP 	show_condition_text: autoDraw = True
10.8109 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', 'biography')])
10.8301 	EXP 	show_condition_text: autoDraw = False
10.8301 	EXP 	show_condition_text: autoDraw = False
10.8301 	EXP 	show_condition_text: text = 'biography'
10.8301 	EXP 	show_condition_text: autoDraw = True
11.8278 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', 'regardless')])
11.8445 	EXP 	show_condition_text: autoDraw = False
11.8445 	EXP 	show_condition_text: autoDraw = False
11.8445 	EXP 	show_condition_text: text = 'regardless'
11.8445 	EXP 	show_condition_text: autoDraw = True
12.8277 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', 'figure')])
12.8433 	EXP 	show_condition_text: autoDraw = False
12.8433 	EXP 	show_condition_text: autoDraw = False
12.8433 	EXP 	show_condition_text: text = 'figure'
12.8433 	EXP 	show_condition_text: autoDraw = True
13.8440 	EXP 	show_condition_text: autoDraw = False
13.8440 	EXP 	show_condition_text: autoDraw = False
13.8440 	EXP 	show_condition_text: text = '****'
13.8440 	EXP 	show_condition_text: autoDraw = True
13.8608 	EXP 	show_condition_text: text = '****'
13.8608 	EXP 	show_condition_text: autoDraw = True
13.8771 	EXP 	show_condition_text: text = '****'
13.8771 	EXP 	show_condition_text: autoDraw = True
