8.9193 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
10.1829 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x131fca898>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x132bfd320>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.1830 	EXP 	window1: recordFrameIntervals = False
10.3478 	EXP 	window1: recordFrameIntervals = True
10.5304 	EXP 	window1: recordFrameIntervals = False
10.9520 	EXP 	Created instructions_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='instructions_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Welcome!', units='height', win=Window(...), wrapWidth=1)
11.0044 	EXP 	Created show_condition_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='show_condition_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
11.0319 	EXP 	instructions_text: autoDraw = True
11.3371 	EXP 	Imported csvs/noise_conditions.csv as conditions, 4 conditions, 1 params
11.3374 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
11.3376 	EXP 	New trial (rep=0, index=0): OrderedDict([('condition', 2)])
11.3401 	EXP 	Imported csvs/condition_2_wlists_indices.csv as conditions, 8 conditions, 1 params
11.3404 	EXP 	Created sequence: random, trialTypes=8, nReps=1, seed=None
11.3406 	EXP 	New trial (rep=0, index=0): OrderedDict([('wlist_index', 10)])
11.3436 	EXP 	Imported csvs/10.csv as conditions, 7 conditions, 1 params
11.3439 	EXP 	Created sequence: random, trialTypes=7, nReps=1, seed=None
11.3441 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', 'bind')])
11.3607 	DATA 	Keypress: space
11.3813 	EXP 	instructions_text: autoDraw = False
11.3813 	EXP 	show_condition_text: text = 'bind'
11.3813 	EXP 	show_condition_text: autoDraw = True
11.3818 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', 'magnificent')])
11.3988 	EXP 	show_condition_text: autoDraw = False
11.3988 	EXP 	show_condition_text: text = 'magnificent'
11.3988 	EXP 	show_condition_text: autoDraw = True
11.3993 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', 'evaluating')])
11.4169 	EXP 	show_condition_text: autoDraw = False
11.4169 	EXP 	show_condition_text: text = 'evaluating'
11.4169 	EXP 	show_condition_text: autoDraw = True
11.4174 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', 'endless')])
11.4473 	EXP 	show_condition_text: autoDraw = False
11.4473 	EXP 	show_condition_text: text = 'endless'
11.4473 	EXP 	show_condition_text: autoDraw = True
11.4478 	EXP 	New trial (rep=0, index=4): OrderedDict([('word', 'muscle')])
11.4647 	EXP 	show_condition_text: autoDraw = False
11.4647 	EXP 	show_condition_text: text = 'muscle'
11.4647 	EXP 	show_condition_text: autoDraw = True
11.4651 	EXP 	New trial (rep=0, index=5): OrderedDict([('word', 'facial')])
11.4815 	EXP 	show_condition_text: autoDraw = False
11.4815 	EXP 	show_condition_text: text = 'facial'
11.4815 	EXP 	show_condition_text: autoDraw = True
11.4819 	EXP 	New trial (rep=0, index=6): OrderedDict([('word', 'glasses')])
11.4995 	EXP 	show_condition_text: autoDraw = False
11.4995 	EXP 	show_condition_text: text = 'glasses'
11.4995 	EXP 	show_condition_text: autoDraw = True
11.5149 	EXP 	show_condition_text: autoDraw = False
11.5149 	EXP 	show_condition_text: text = '****'
11.5149 	EXP 	show_condition_text: autoDraw = True
11.5308 	EXP 	show_condition_text: text = '****'
11.5308 	EXP 	show_condition_text: autoDraw = True
11.5469 	EXP 	show_condition_text: text = '****'
11.5469 	EXP 	show_condition_text: autoDraw = True
11.5643 	EXP 	show_condition_text: text = '****'
11.5643 	EXP 	show_condition_text: autoDraw = True
11.5813 	EXP 	show_condition_text: text = '****'
11.5813 	EXP 	show_condition_text: autoDraw = True
11.5969 	EXP 	show_condition_text: text = '****'
