5.1318 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
5.8266 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x131a827f0>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x132baeb70>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.8266 	EXP 	window1: recordFrameIntervals = False
5.9928 	EXP 	window1: recordFrameIntervals = True
6.1763 	EXP 	window1: recordFrameIntervals = False
6.4766 	EXP 	Created instructions_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='instructions_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Welcome!', units='height', win=Window(...), wrapWidth=1)
6.5113 	EXP 	Created show_condition_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='show_condition_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
6.5285 	EXP 	instructions_text: autoDraw = True
6.9987 	EXP 	Imported csvs/noise_conditions.csv as conditions, 4 conditions, 1 params
6.9990 	EXP 	Created sequence: random, trialTypes=4, nReps=1, seed=None
6.9992 	EXP 	New trial (rep=0, index=0): OrderedDict([('condition', 1)])
7.0013 	EXP 	Imported csvs/condition_1_wlists_indices.csv as conditions, 8 conditions, 1 params
7.0016 	EXP 	Created sequence: random, trialTypes=8, nReps=1, seed=None
7.0018 	EXP 	New trial (rep=0, index=0): OrderedDict([('wlist_index', 31)])
7.0370 	EXP 	Imported csvs/31.csv as conditions, 8 conditions, 1 params
7.0373 	EXP 	Created sequence: random, trialTypes=8, nReps=1, seed=None
7.0375 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', 'reverse')])
7.0522 	DATA 	Keypress: space
7.0637 	EXP 	instructions_text: autoDraw = False
7.0637 	EXP 	show_condition_text: text = 'reverse'
7.0637 	EXP 	show_condition_text: autoDraw = True
10.0518 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', 'usd')])
10.0679 	EXP 	show_condition_text: autoDraw = False
10.0679 	EXP 	show_condition_text: text = 'usd'
10.0679 	EXP 	show_condition_text: autoDraw = True
13.0675 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', 'humanitarian')])
13.0882 	EXP 	show_condition_text: autoDraw = False
