"","Word","Length","LgSUBTLWF","Ortho_N","Phono_N","NPhon","NSyll","Dom_PoS_SUBTLEX"
"121","whose",5,3.5,4,33,3,1,"Determiner"
"122","stay",4,4.42,8,8,3,1,"Verb"
"123","nothing",7,4.64,0,2,5,2,"Pronoun"
"124","loved",5,3.75,6,7,4,1,"Verb"
"125","fast",4,3.85,11,19,4,1,"Adverb"
"126","crying",6,3.43,3,4,5,2,"Verb"
"127","heard",5,4.3,4,20,3,1,"Verb"
"128","tied",4,3.14,6,30,3,1,"Verb"
"129","avoid",5,3.09,0,2,4,2,"Verb"
"130","least",5,4.03,6,14,4,1,"Adverb"
"131","junior",6,3.26,0,0,5,2,"Adjective"
"132","trying",6,4.36,4,3,5,2,"Verb"
"133","good",4,5.12,8,10,3,1,"Adjective"
"134","throwing",8,3.17,0,2,5,2,"Verb"
"135","works",5,3.73,4,10,4,1,"Verb"
"136","go",2,5.29,7,28,2,1,"Verb"
"137","grand",5,3.51,4,9,5,1,"Adjective"
"138","below",5,3.16,0,12,4,2,"Adverb"
"139","catch",5,3.84,6,19,3,1,"Verb"
"140","swing",5,3.12,6,16,4,1,"Verb"
"141","gay",3,3.48,17,20,2,1,"Adjective"
"142","do",2,5.5,7,30,2,1,"Verb"
"143","old",3,4.49,1,2,3,1,"Adjective"
"144","close",5,4.05,3,14,4,1,"Adjective"
"145","made",4,4.46,12,30,3,1,"Verb"
"146","shut",4,4.13,4,18,3,1,"Verb"
"147","lily",4,3.14,3,13,4,2,"Name"
"148","spread",6,3.2,0,1,5,1,"Verb"
"149","white",5,3.94,3,8,4,1,"Adjective"
"150","bad",3,4.44,19,28,3,1,"Adjective"
"151","written",7,3.35,0,8,4,2,"Verb"
"152","simple",6,3.66,5,5,5,2,"Adjective"
"153","broke",5,3.73,2,9,4,1,"Verb"
"154","singing",7,3.36,5,7,5,2,"Verb"
"155","stick",5,3.69,6,14,4,1,"Verb"
"156","hope",4,4.21,12,18,3,1,"Verb"
"157","zero",4,3.04,2,2,4,2,"Number"
"158","dare",4,3.45,19,34,3,1,"Verb"
"159","happen",6,4.11,0,0,5,2,"Verb"
"160","free",4,3.96,4,11,3,1,"Adjective"
"161","suffer",6,3.06,3,11,4,2,"Verb"
"162","know",4,5.47,4,33,2,1,"Verb"
"163","brown",5,3.49,7,9,4,1,"Name"
"164","prefer",6,3.23,0,0,5,2,"Verb"
"165","giving",6,3.75,3,3,5,2,"Verb"
"166","drew",4,3.11,4,10,3,1,"Name"
"167","teach",5,3.57,4,16,3,1,"Verb"
"168","deep",4,3.59,9,19,3,1,"Adjective"
"169","proud",5,3.63,0,8,4,1,"Adjective"
"170","move",4,4.33,9,11,3,1,"Verb"
"171","awesome",7,3.2,0,1,3,2,"Adjective"
"172","open",4,4.21,3,4,4,2,"Verb"
"173","my",2,5.54,4,31,2,1,"Pronoun"
"174","freeze",6,3.22,2,14,4,1,"Verb"
"175","burned",6,3.16,3,13,4,1,"Verb"
"176","lived",5,3.53,7,4,4,1,"Verb"
"177","dirty",5,3.53,1,9,4,2,"Adjective"
"178","join",4,3.63,3,9,3,1,"Verb"
"179","who",3,5.05,2,38,2,1,"Pronoun"
"180","few",3,4.19,10,12,3,1,"Determiner"
"181","course",6,4.4,1,14,4,1,"Adverb"
"182","straight",8,3.8,0,6,5,1,"Adverb"
"183","lower",5,3.15,10,15,3,1,"Adjective"
"184","afford",6,3.36,0,4,5,2,"Verb"
"185","make",4,4.85,17,30,3,1,"Verb"
"186","checked",7,3.38,1,9,4,1,"Verb"
"187","black",5,3.93,4,8,4,1,"Adjective"
"188","pray",4,3.27,7,11,3,1,"Verb"
"189","in",2,5.7,7,14,2,1,"Preposition"
"190","mixed",5,3.04,3,4,5,1,"Verb"
"191","bond",4,3.2,9,17,4,1,"Name"
"192","much",4,4.7,4,16,3,1,"Determiner"
"193","ready",5,4.3,4,14,4,2,"Adjective"
"194","third",5,3.58,0,9,3,1,"Number"
"195","ate",3,3.24,9,17,2,1,"Verb"
"196","skip",4,3.03,8,9,4,1,"Verb"
"197","any",3,4.75,4,7,3,2,"Determiner"
"198","six",3,4.01,11,19,4,1,"Number"
"199","swim",4,3.21,6,11,4,1,"Verb"
"200","say",3,4.92,25,29,2,1,"Verb"
"201","either",6,3.97,3,3,3,2,"Adverb"
"202","jealous",7,3.29,1,1,5,2,"Adjective"
"203","think",5,5.14,4,12,4,1,"Verb"
"204","empty",5,3.38,0,0,5,2,"Adjective"
"205","need",4,4.82,7,25,3,1,"Verb"
"206","wearing",7,3.64,10,13,5,2,"Verb"
"207","maybe",5,4.67,0,2,4,2,"Adverb"
"208","kissing",7,3.08,2,7,5,2,"Verb"
"209","ten",3,3.87,16,24,3,1,"Number"
"210","keep",4,4.55,9,24,3,1,"Verb"
"211","set",3,4.07,18,27,3,1,"Verb"
"212","bust",4,3.15,14,18,4,1,"Verb"
"213","clever",6,3.14,1,2,5,2,"Adjective"
"214","selling",7,3.28,5,8,5,2,"Verb"
"215","you",3,6.33,2,29,2,1,"Pronoun"
"216","fourth",6,3.13,0,9,4,1,"Number"
"217","ought",5,3.61,1,14,2,1,"Verb"
"218","glad",4,3.94,3,8,4,1,"Adjective"
"219","knew",4,4.27,3,36,2,1,"Verb"
"220","three",5,4.44,1,9,3,1,"Number"
"221","settle",6,3.33,4,13,4,2,"Verb"
"222","real",4,4.35,14,1,4,1,"Adjective"
"223","wins",4,3,10,17,4,1,"Verb"
"224","piss",4,3.08,10,24,3,1,"Verb"
"225","sold",4,3.42,9,21,4,1,"Verb"
"226","turn",4,4.19,5,19,3,1,"Verb"
"227","senior",6,3.13,1,0,5,2,"Adjective"
"228","remove",6,3.04,1,0,5,2,"Verb"
"229","hurry",5,3.95,3,6,4,2,"Verb"
"230","wide",4,3.08,13,32,3,1,"Adjective"
"231","used",4,4.24,2,3,4,1,"Verb"
