"","Word","Length","LgSUBTLWF","Ortho_N","Phono_N","NPhon","NSyll","Dom_PoS_SUBTLEX"
"159","ally",4,3.22,1,8,3,2,"Noun"
"160","plate",5,3.12,5,13,4,1,"Noun"
"161","tea",3,3.48,7,27,2,1,"Noun"
"162","wound",5,3.13,8,13,4,1,"Noun"
"163","glass",5,3.49,3,5,4,1,"Noun"
"164","dreams",6,3.52,3,5,5,1,"Noun"
"165","stone",5,3.32,8,12,4,1,"Noun"
"166","signal",6,3.28,0,0,5,2,"Noun"
"167","neck",4,3.48,5,14,3,1,"Noun"
"168","farm",4,3.19,6,5,4,1,"Noun"
"169","pleasure",8,3.61,0,0,5,2,"Noun"
"170","tower",5,3.07,10,16,3,1,"Noun"
"171","killer",6,3.51,4,16,4,2,"Noun"
"172","career",6,3.36,3,0,5,2,"Noun"
"173","shot",4,4.06,11,22,3,1,"Noun"
"174","field",5,3.55,3,20,4,1,"Noun"
"175","pot",3,3.06,17,30,3,1,"Noun"
"176","world",5,4.37,1,10,4,1,"Noun"
"177","boy",3,4.43,15,17,2,1,"Noun"
"178","power",5,3.88,9,19,3,1,"Noun"
"179","grade",5,3.17,8,18,4,1,"Noun"
"180","shadow",6,3.03,0,2,4,2,"Noun"
"181","songs",5,3.05,4,5,4,1,"Noun"
"182","mile",4,3.03,21,28,3,1,"Noun"
"183","station",7,3.61,0,0,5,2,"Noun"
"184","sale",4,3.11,19,40,3,1,"Noun"
"185","miss",4,4.38,8,22,3,1,"Noun"
"186","apple",5,3.08,2,4,3,2,"Noun"
"187","bullet",6,3.29,3,2,5,2,"Noun"
"188","post",4,3.22,12,16,4,1,"Noun"
"189","hair",4,3.89,5,32,3,1,"Noun"
"190","sight",5,3.36,8,30,3,1,"Noun"
"191","ticket",6,3.37,4,1,5,2,"Noun"
"192","fact",4,3.94,5,11,4,1,"Noun"
"193","bike",4,3.12,9,22,3,1,"Noun"
"194","pride",5,3.15,5,14,4,1,"Noun"
"195","meal",4,3.17,12,33,3,1,"Noun"
"196","hat",3,3.52,20,33,3,1,"Noun"
"197","channel",7,3.1,1,5,4,2,"Noun"
"198","pen",3,3.1,19,25,3,1,"Noun"
"199","day",3,4.61,16,25,2,1,"Noun"
"200","steps",5,3.1,3,2,5,1,"Noun"
"201","golf",4,3.11,4,2,4,1,"Noun"
"202","grave",5,3.13,9,16,4,1,"Noun"
"203","list",4,3.61,12,22,4,1,"Noun"
"204","ride",4,3.84,15,41,3,1,"Noun"
"205","guest",5,3.31,2,16,4,1,"Noun"
"206","murder",6,3.76,0,9,4,2,"Noun"
"207","past",4,3.8,14,20,4,1,"Noun"
"208","bay",3,3.09,19,29,2,1,"Noun"
"209","picture",7,3.85,0,0,5,2,"Noun"
"210","city",4,3.94,2,12,4,2,"Noun"
"211","shock",5,3.17,6,25,3,1,"Noun"
"212","chip",4,3.02,8,22,3,1,"Noun"
"213","taxi",4,3.12,1,3,5,2,"Noun"
"214","spring",6,3.2,5,8,5,1,"Noun"
"215","girl",4,4.45,2,15,3,1,"Noun"
"216","luck",4,3.89,11,23,3,1,"Noun"
"217","island",6,3.31,1,0,5,2,"Noun"
"218","earth",5,3.71,0,7,2,1,"Noun"
"219","eggs",4,3.29,0,5,3,1,"Noun"
"220","news",4,3.92,4,23,3,1,"Noun"
"221","shape",5,3.19,6,14,3,1,"Noun"
"222","spot",4,3.5,7,11,4,1,"Noun"
"223","heaven",6,3.46,3,5,4,2,"Noun"
"224","test",4,3.63,13,18,4,1,"Noun"
"225","dude",4,3.71,7,29,3,1,"Noun"
"226","path",4,3.1,7,16,3,1,"Noun"
"227","pipe",4,3,6,17,3,1,"Noun"
"228","duty",4,3.42,1,11,4,2,"Noun"
"229","money",5,4.51,3,19,4,2,"Noun"
"230","phone",5,4.14,3,27,3,1,"Noun"
"231","foot",4,3.52,11,10,3,1,"Noun"
"232","hole",4,3.47,13,37,3,1,"Noun"
"233","knife",5,3.38,0,9,3,1,"Noun"
"234","address",7,3.43,0,0,5,2,"Noun"
"235","drama",5,3.01,0,0,5,2,"Noun"
"236","square",6,3.21,1,1,5,1,"Noun"
"237","study",5,3.4,1,6,5,2,"Noun"
"238","jail",4,3.56,11,31,3,1,"Noun"
"239","matters",7,3.23,5,12,5,2,"Noun"
"240","photos",6,3.01,1,0,5,2,"Noun"
"241","police",6,4.08,2,1,5,2,"Noun"
"242","mate",4,3.17,22,39,3,1,"Noun"
"243","river",5,3.45,7,8,4,2,"Noun"
"244","wing",4,3.01,10,20,3,1,"Noun"
"245","garage",6,3.14,0,1,5,2,"Noun"
"246","baby",4,4.41,1,4,4,2,"Noun"
"247","balls",5,3.31,10,21,4,1,"Noun"
"248","book",4,3.96,13,20,3,1,"Noun"
"249","gas",3,3.54,8,16,3,1,"Noun"
"250","club",4,3.7,1,3,4,1,"Noun"
"251","fever",5,3.01,4,8,4,2,"Noun"
"252","supper",6,3,0,6,4,2,"Noun"
"253","trouble",7,4.06,0,3,5,2,"Noun"
"254","knowledge",9,3.11,0,1,5,2,"Noun"
"255","lines",5,3.29,16,23,4,1,"Noun"
"256","tank",4,3.12,11,12,4,1,"Noun"
